"","섹터","종목코드","종목명"
"633","경기관련소비재","004490","세방전지"
"634","경기관련소비재","002350","넥센타이어"
"635","경기관련소비재","024720","한국콜마홀딩스"
"636","경기관련소비재","025540","한국단자"
"637","경기관련소비재","007700","F&F"
"638","경기관련소비재","006060","화승인더"
"639","경기관련소비재","025620","제이준코스메틱"
"640","경기관련소비재","053210","스카이라이프"
"641","경기관련소비재","027410","BGF"
"642","경기관련소비재","034120","SBS"
"643","경기관련소비재","009450","경동나비엔"
"644","경기관련소비재","064960","S&T모티브"
"645","경기관련소비재","092730","네오팜"
"646","경기관련소비재","241710","코스메카코리아"
"647","경기관련소비재","215360","우리산업"
"648","경기관련소비재","284740","쿠쿠홈시스"
"649","경기관련소비재","215200","메가스터디교육"
"650","경기관련소비재","069110","코스온"
"651","경기관련소비재","138250","엔에스쇼핑"
"652","경기관련소비재","241590","화승엔터프라이즈"
"653","경기관련소비재","200130","콜마비앤에이치"
"654","경기관련소비재","015750","성우하이텍"
"655","경기관련소비재","048410","현대바이오"
"656","경기관련소비재","052260","SK바이오랜드"
"657","경기관련소비재","192400","쿠쿠홀딩스"
"658","경기관련소비재","175250","아이큐어"
"659","경기관련소비재","054780","키이스트"
"660","경기관련소비재","070960","용평리조트"
"661","경기관련소비재","000430","대원강업"
"662","경기관련소비재","031440","신세계푸드"
"663","경기관련소비재","003620","쌍용차"
"664","경기관련소비재","126560","현대에이치씨엔"
"665","경기관련소비재","043610","지니뮤직"
"666","경기관련소비재","047820","초록뱀"
"667","경기관련소비재","095720","웅진씽크빅"
"668","경기관련소비재","065650","메디프론"
"669","경기관련소비재","016100","리더스코스메틱"
"670","경기관련소비재","060280","큐렉소"
"671","경기관련소비재","033290","코웰패션"
"672","경기관련소비재","000050","경방"
"673","경기관련소비재","019680","대교"
"674","경기관련소비재","007340","디티알오토모티브"
"675","경기관련소비재","005720","넥센"
"676","경기관련소비재","033340","좋은사람들"
"677","경기관련소비재","003560","IHQ"
"678","경기관련소비재","065060","지엔코"
"679","경기관련소비재","226320","잇츠한불"
"680","경기관련소비재","038880","아이에이"
"681","경기관련소비재","067170","오텍"
"682","경기관련소비재","122450","KMH"
"683","경기관련소비재","101060","SBS미디어홀딩스"
"684","경기관련소비재","065560","녹원씨엔아이"
"685","경기관련소비재","037710","광주신세계"
"686","경기관련소비재","044340","위닉스"
"687","경기관련소비재","102280","쌍방울"
"688","경기관련소비재","007720","대명코퍼레이션"
"689","경기관련소비재","003200","일신방직"
"690","경기관련소비재","078520","에이블씨엔씨"
"691","경기관련소비재","003570","S&T중공업"
"692","경기관련소비재","002630","오리엔트바이오"
"693","경기관련소비재","089600","나스미디어"
"694","경기관련소비재","027050","코리아나"
"695","경기관련소비재","110790","크리스에프앤씨"
"696","경기관련소비재","067280","멀티캠퍼스"
"697","경기관련소비재","260930","씨티케이코스메틱스"
"698","경기관련소비재","119860","다나와"
"699","경기관련소비재","141020","포티스"
"700","경기관련소비재","013990","아가방컴퍼니"
"701","경기관련소비재","101140","아티스"
"702","경기관련소비재","002450","삼익악기"
"703","경기관련소비재","064800","필링크"
"704","경기관련소비재","063170","서울옥션"
"705","경기관련소비재","096240","청담러닝"
"706","경기관련소비재","019660","글로본"
"707","경기관련소비재","009680","모토닉"
"708","경기관련소비재","152330","코리아오토글라스"
"709","경기관련소비재","067990","도이치모터스"
"710","경기관련소비재","138360","에이씨티"
"711","경기관련소비재","217480","에스디생명공학"
"712","경기관련소비재","064090","에프앤리퍼블릭"
"713","경기관련소비재","123690","한국화장품"
"714","경기관련소비재","060300","레드로버"
"715","경기관련소비재","206560","덱스터"
"716","경기관련소비재","009270","신원"
"717","경기관련소비재","048550","SM C&C"
"718","경기관련소비재","048910","대원미디어"
"719","경기관련소비재","010600","웰바이오텍"
"720","경기관련소비재","086980","쇼박스"
"721","경기관련소비재","031510","오스템"
"722","경기관련소비재","263720","디앤씨미디어"
"723","경기관련소비재","072870","메가스터디"
"724","경기관련소비재","035080","인터파크홀딩스"
"725","경기관련소비재","035000","지투알"
"726","경기관련소비재","160550","NEW"
"727","경기관련소비재","012170","키위미디어그룹"
"728","경기관련소비재","204620","글로벌텍스프리"
"729","경기관련소비재","227610","아우딘퓨쳐스"
