"","US","EUROPE","JAPAN","EM","LONG_BOND","INT_BOND","US.REIT","GLOBAL.REIT","GOLD","COMMODITY"
"1993-08-20",0.000683031,-0.005905512,0.009572247,0.009575245,0,0,0,0,-0.000401714,0.002844846
"1993-08-21",0,0,0,0,0,0,0,0,0,0
"1993-08-22",0,0,0,0,0,0,0,0,0,0
"1993-08-23",-0.002047695,-0.007920792,0.003894627,0.003488823,0,0,0,0,-0.000401875,0.005553021
"1993-08-24",0.010936398,0.001996008,-0.005694112,0.001081638,0.004201681,0.003134796,0,0,0.001474136,-0.003861367
"1993-08-25",0.000676566,0.001992032,-0.00823475,0.000180078,0.0041841,0.003125,0,0,-0.006690753,-0.003545429
"1993-08-26",0.000676109,0.003976143,0.009576842,0.01463515,0.008333333,0.003115265,0.005291005,0,0.000269433,0.001483596
"1993-08-27",-0.000675652,0.00990099,0.015642465,0.001343541,0,-0.00310559,0.002631579,0,-0.005387205,0.014572828
"1993-08-28",0,0,0,0,0,0,0,0,0,0
"1993-08-29",0,0,0,0,0,0,0,0,0,0
"1993-08-30",0.004053169,0,0.005820118,-0.001417686,0,0.003115265,0,0,0,0.000135825
"1993-08-31",0.002693519,0,-0.003671695,-0.002509824,0.004132231,-0.00310559,0.002624672,0.062186875,0.006228842,-0.011441716
"1993-09-01",-0.001343141,0,-0.009161503,0.012911096,0,0,0.005235602,0,-0.00672857,-0.008311403
"1993-09-02",-0.00336237,-0.001960784,-0.004244107,0.014829126,0.004115226,0.00623053,0.002604167,0,0.000541932,0.001363654
"1993-09-03",0.000674743,0.001964637,0.018450666,0.001458771,0.008196721,0.00619195,0,0,-0.01746784,-0.002658747
"1993-09-04",0,0,0,0,0,0,0,0,0,0
"1993-09-05",0,0,0,0,0,0,0,0,0,0
"1993-09-06",0,0,5.12e-05,0.00799921,0,0,0,0,0.003996692,0
"1993-09-07",-0.006735926,0.005882353,-0.003446141,0.003453512,0.008130081,0.003076923,-0.002597403,0,-0.02594372,-0.020021934
"1993-09-08",-0.003394302,-0.003898635,-0.013540964,-0.000927531,0,0,0,0,-0.008596392,0.002375286
"1993-09-09",0.002043518,0.009784736,-0.003104256,-0.00557035,-0.012096774,-0.006134969,0.005208333,0,0.004406539,-0.003146305
"1993-09-10",0.008830177,-0.001937984,-0.007898678,-0.001498661,0.008163265,0.00308642,0.005181347,0,-0.00509482,-0.002766686
"1993-09-11",0,0,0,0,0,0,0,0,0,0
"1993-09-12",0,0,0,0,0,0,0,0,0,0
"1993-09-13",0.000673833,0.003883495,0.014424442,0.000565917,0.004048583,0,0.007731959,0,-0.020768137,0.005269069
"1993-09-14",-0.004036807,-0.001934236,-0.006200081,-0.005336284,-0.012096774,-0.006153846,-0.00511509,0,-0.001452644,-0.002596439
"1993-09-15",0.002700951,-0.001937984,0,-0.003387065,-0.004081633,0,0.002570694,0,0.012510911,-0.001478687
"1993-09-16",-0.002019388,-0.015533981,-0.005313789,0.004366054,0,0.003095975,0,0,0.013649425,-0.000704968
"1993-09-17",-0.003970327,0.007889546,-0.007798811,0.00518685,0,-0.00308642,0.005128205,0,-0.002551382,0.006921551
"1993-09-18",0,0,0,0,0,0,0,0,0,0
"1993-09-19",0,0,0,0,0,0,0,0,0,0
